Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
First Class,Consumer,Thousand Oaks,California,West,Technology,Phones,15.984,2,0.2,1.1988
Standard Class,Corporate,San Diego,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392
Standard Class,Corporate,San Diego,California,West,Furniture,Furnishings,91.96,2,0.0,15.6332
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Supplies,238.62,2,0.0,4.7724
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Appliances,7.77,1,0.0,2.0979
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,285.48,5,0.2,-10.7055
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,19.168,4,0.2,6.4692
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,57.568,4,0.2,5.7568
Standard Class,Consumer,San Diego,California,West,Office Supplies,Storage,304.9,5,0.0,6.098
Standard Class,Consumer,San Diego,California,West,Furniture,Furnishings,80.96,4,0.0,29.1456
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,32.4,5,0.0,15.552
Standard Class,Consumer,San Diego,California,West,Furniture,Chairs,225.568,2,0.2,2.8196
Standard Class,Consumer,San Diego,California,West,Furniture,Furnishings,36.6,3,0.0,15.372
Second Class,Consumer,Concord,California,West,Furniture,Bookcases,239.666,2,0.15,14.098
Second Class,Corporate,San Francisco,California,West,Furniture,Furnishings,28.28,2,0.0,7.3528
Same Day,Consumer,San Francisco,California,West,Office Supplies,Binders,14.352,3,0.2,5.0232
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,99.87,3,0.0,23.9688
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Labels,44.4,3,0.0,22.2
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,21.4,5,0.0,9.63
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,9.78,1,0.0,4.89
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Binders,24.192,9,0.2,7.56
Same Day,Home Office,San Francisco,California,West,Office Supplies,Paper,59.94,3,0.0,28.1718
Same Day,Home Office,San Francisco,California,West,Office Supplies,Paper,45.36,4,0.0,22.2264
Same Day,Home Office,San Francisco,California,West,Office Supplies,Paper,26.4,5,0.0,12.672
Same Day,Home Office,San Francisco,California,West,Technology,Accessories,16.95,1,0.0,1.017
Standard Class,Corporate,San Jose,California,West,Office Supplies,Binders,24.704,2,0.2,9.264
Standard Class,Corporate,San Jose,California,West,Office Supplies,Appliances,59.7,3,0.0,26.865
Standard Class,Corporate,San Jose,California,West,Furniture,Furnishings,14.52,3,0.0,5.6628
Standard Class,Corporate,San Jose,California,West,Office Supplies,Binders,104.184,3,0.2,33.8598
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Art,5.88,2,0.0,1.5876
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,211.168,4,0.2,18.4772
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,6.28,1,0.0,2.6376
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,95.1,5,0.0,30.432
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,25.92,4,0.0,12.4416
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,48.84,4,0.0,13.1868
Second Class,Corporate,San Francisco,California,West,Office Supplies,Appliances,154.9,5,0.0,40.274
Second Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,30.56,4,0.0,14.9744
Second Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,21.12,4,0.0,6.5472
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Appliances,7.78,2,0.0,2.0228
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Supplies,17.22,3,0.0,5.166
Standard Class,Corporate,San Francisco,California,West,Technology,Phones,107.88,3,0.2,10.788
First Class,Consumer,San Diego,California,West,Office Supplies,Binders,8.704,2,0.2,3.1552
First Class,Consumer,San Diego,California,West,Office Supplies,Paper,19.92,4,0.0,9.7608
First Class,Consumer,San Diego,California,West,Furniture,Furnishings,43.02,3,0.0,15.4872
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,369.544,7,0.2,32.3351
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,184.752,3,0.2,-20.7846
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,19.76,4,0.0,8.2992
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,68.52,3,0.0,31.5192
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,74.94,3,0.0,14.2386
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,287.88,3,0.2,35.985
First Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,14.9,5,0.0,7.152
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,91.96,2,0.0,15.6332
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,33.11,7,0.0,12.9129
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,19.44,3,0.0,9.3312
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,55.48,1,0.0,26.6304
First Class,Consumer,Los Angeles,California,West,Office Supplies,Art,9.84,3,0.0,2.8536
Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,15.24,3,0.0,5.1816
Second Class,Consumer,San Diego,California,West,Office Supplies,Paper,12.6,3,0.0,6.174
Second Class,Consumer,San Diego,California,West,Office Supplies,Paper,17.94,3,0.0,8.073
Standard Class,Home Office,Lakewood,California,West,Furniture,Furnishings,6.98,1,0.0,3.3504
Standard Class,Home Office,Lakewood,California,West,Technology,Machines,343.2,1,0.2,38.61
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,270.62,2,0.0,2.7062
Standard Class,Consumer,Costa Mesa,California,West,Furniture,Furnishings,29.22,3,0.0,12.8568
Standard Class,Corporate,Redwood City,California,West,Office Supplies,Binders,41.904,6,0.2,14.1426
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,44.75,5,0.0,8.5025
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,11.96,2,0.0,5.382
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,3.912,1,0.2,1.2714
First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,49.408,4,0.2,18.528
First Class,Corporate,Los Angeles,California,West,Furniture,Tables,161.28,2,0.2,12.096
Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,205.666,2,0.15,-12.098
First Class,Consumer,Santa Maria,California,West,Office Supplies,Storage,115.44,3,0.0,30.0144
Standard Class,Consumer,San Jose,California,West,Office Supplies,Art,11.76,4,0.0,3.1752
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,40.736,2,0.2,14.7668
Second Class,Consumer,San Francisco,California,West,Technology,Phones,201.584,2,0.2,12.599
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,87.92,4,0.0,0.8792
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,22.96,2,0.0,11.2504
Standard Class,Consumer,Redondo Beach,California,West,Office Supplies,Envelopes,7.64,1,0.0,3.7436
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,56.7,9,0.0,26.082
Standard Class,Consumer,San Jose,California,West,Furniture,Furnishings,166.5,3,0.0,21.645
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.744,1,0.2,3.8168
Standard Class,Corporate,Oakland,California,West,Technology,Phones,39.992,1,0.2,-7.9984
Standard Class,Corporate,Oakland,California,West,Office Supplies,Art,179.9,5,0.0,44.975
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,88.776,3,0.2,7.7679
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,64.14,3,0.0,16.6764
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,36.36,3,0.2,12.2715
First Class,Home Office,San Francisco,California,West,Furniture,Furnishings,25.83,3,0.0,9.5571
Standard Class,Consumer,Oxnard,California,West,Furniture,Furnishings,127.95,3,0.0,21.7515
Second Class,Corporate,Laguna Niguel,California,West,Technology,Phones,39.96,5,0.2,3.4965
Second Class,Corporate,Laguna Niguel,California,West,Office Supplies,Paper,34.08,6,0.0,15.336
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,33.4,5,0.0,16.032
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,47.04,4,0.0,15.9936
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,339.96,5,0.2,42.495
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,12.176,1,0.2,4.4138
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,37.32,3,0.0,10.4496
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Supplies,35.06,2,0.0,10.518
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Art,56.3,2,0.0,15.764
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,14.76,2,0.0,4.2804
First Class,Consumer,San Francisco,California,West,Office Supplies,Storage,56.56,2,0.0,15.2712
First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,36.96,7,0.0,11.4576
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,68.46,7,0.0,25.3302
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Art,23.88,6,0.0,8.1192
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Labels,11.52,4,0.0,5.6448
Standard Class,Home Office,San Francisco,California,West,Technology,Phones,206.384,2,0.2,23.2182
Standard Class,Consumer,San Francisco,California,West,Furniture,Chairs,218.352,3,0.2,0.0
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Appliances,108.96,2,0.0,30.5088
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,2.688,1,0.2,0.84
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,13.36,2,0.0,6.4128
Second Class,Home Office,Los Angeles,California,West,Office Supplies,Storage,158.9,5,0.0,7.945
Standard Class,Corporate,Roseville,California,West,Office Supplies,Labels,3.15,1,0.0,1.512
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,170.352,3,0.2,-17.0352
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,34.65,3,0.0,9.702
Standard Class,Corporate,San Francisco,California,West,Technology,Phones,19.8,5,0.2,1.7325
Standard Class,Consumer,Santa Ana,California,West,Office Supplies,Fasteners,5.94,3,0.0,0.0
Standard Class,Consumer,Santa Ana,California,West,Office Supplies,Paper,45.36,7,0.0,21.7728
Standard Class,Consumer,Santa Ana,California,West,Technology,Phones,211.168,4,0.2,23.7564
First Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,19.296,3,0.2,6.03
First Class,Consumer,Los Angeles,California,West,Furniture,Bookcases,239.666,2,0.15,14.098
First Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,22.5,6,0.0,10.8
First Class,Corporate,San Francisco,California,West,Furniture,Furnishings,41.88,6,0.0,12.1452
First Class,Corporate,San Francisco,California,West,Office Supplies,Labels,58.48,8,0.0,27.4856
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,49.568,2,0.2,17.3488
Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,20.04,6,0.0,8.8176
Second Class,Corporate,San Francisco,California,West,Technology,Accessories,111.96,4,0.0,21.2724
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,16.34,2,0.0,7.6798
Standard Class,Consumer,San Diego,California,West,Furniture,Chairs,225.296,2,0.2,22.5296
Standard Class,Consumer,San Diego,California,West,Office Supplies,Binders,50.352,3,0.2,17.6232
Standard Class,Consumer,Long Beach,California,West,Technology,Phones,217.584,2,0.2,19.0386
Standard Class,Consumer,Long Beach,California,West,Office Supplies,Fasteners,5.43,3,0.0,1.7919
Standard Class,Consumer,Long Beach,California,West,Technology,Phones,143.976,3,0.2,8.9985
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,149.95,5,0.0,31.4895
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,23.32,2,0.0,6.0632
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,16.74,3,0.0,4.8546
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Appliances,113.76,3,0.0,44.3664
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,150.66,9,0.0,6.0264
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,48.032,4,0.2,15.6104
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,122.136,3,0.2,-13.7403
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,7.712,2,0.2,2.7956
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,4.176,1,0.2,1.305
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624
First Class,Consumer,Roseville,California,West,Office Supplies,Binders,8.32,5,0.2,2.808
Standard Class,Home Office,Sacramento,California,West,Furniture,Furnishings,9.98,1,0.0,2.7944
First Class,Consumer,Pomona,California,West,Technology,Accessories,99.98,2,0.0,34.993
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,168.1,5,0.0,43.706
Same Day,Consumer,Santa Ana,California,West,Furniture,Tables,146.04,1,0.2,-12.7785
Standard Class,Corporate,Montebello,California,West,Technology,Accessories,27.88,2,0.0,3.9032
Standard Class,Corporate,Thousand Oaks,California,West,Furniture,Furnishings,22.72,1,0.0,9.3152
Standard Class,Corporate,Torrance,California,West,Technology,Phones,371.2,5,0.2,41.76
Standard Class,Home Office,El Cajon,California,West,Furniture,Chairs,478.48,2,0.2,47.848
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,32.04,4,0.0,14.418
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,59.92,4,0.0,27.5632
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,28.14,3,0.0,13.5072
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,7.38,2,0.0,3.4686
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Fasteners,10.9,5,0.0,3.597
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,23.04,8,0.0,11.2896
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,218.352,3,0.2,-19.1058
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,12.672,2,0.2,4.752
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,91.96,5,0.2,-20.691
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,31.984,2,0.2,-7.996
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,47.52,9,0.0,21.384
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.05,3,0.0,8.763
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,73.344,3,0.2,27.504
Second Class,Corporate,Brentwood,California,West,Office Supplies,Storage,10.68,1,0.0,2.8836
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,18.9,3,0.0,8.694
Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,93.68,4,0.0,25.2936
Second Class,Consumer,San Francisco,California,West,Office Supplies,Labels,21.93,3,0.0,10.3071
Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,19.98,1,0.0,9.3906
Standard Class,Home Office,Roseville,California,West,Office Supplies,Fasteners,2.48,2,0.0,1.1656
First Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.808,3,0.2,4.1328
First Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,53.568,4,0.2,19.4184
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Envelopes,21.34,2,0.0,9.8164
Second Class,Home Office,San Francisco,California,West,Office Supplies,Storage,15.51,1,0.0,4.3428
Second Class,Home Office,San Francisco,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208
Same Day,Home Office,Riverside,California,West,Office Supplies,Art,7.8,3,0.0,2.106
Standard Class,Home Office,Laguna Niguel,California,West,Office Supplies,Paper,12.96,2,0.0,6.3504
Second Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,289.24,7,0.0,26.0316
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,69.456,2,0.2,22.5732
Second Class,Home Office,Salinas,California,West,Furniture,Bookcases,148.257,3,0.15,15.6978
Standard Class,Home Office,Concord,California,West,Furniture,Tables,99.592,1,0.2,2.4898
Same Day,Consumer,Anaheim,California,West,Office Supplies,Art,23.32,2,0.0,6.0632
Same Day,Consumer,Anaheim,California,West,Office Supplies,Paper,30.98,1,0.0,13.941
Same Day,Consumer,Anaheim,California,West,Technology,Accessories,119.96,4,0.0,25.1916
Same Day,Consumer,Anaheim,California,West,Office Supplies,Binders,35.808,3,0.2,11.19
Same Day,Consumer,Anaheim,California,West,Office Supplies,Binders,122.688,9,0.2,39.8736
Same Day,Consumer,Anaheim,California,West,Office Supplies,Storage,50.22,3,0.0,2.0088
Same Day,Consumer,Anaheim,California,West,Office Supplies,Appliances,83.42,2,0.0,24.1918
Same Day,Consumer,Anaheim,California,West,Office Supplies,Binders,5.872,2,0.2,2.1286
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,38.88,6,0.0,18.6624
Standard Class,Consumer,Fresno,California,West,Office Supplies,Paper,5.98,1,0.0,2.691
Second Class,Corporate,Concord,California,West,Office Supplies,Art,3.52,2,0.0,1.6896
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,99.87,3,0.0,23.9688
Second Class,Corporate,Los Angeles,California,West,Technology,Phones,119.96,1,0.2,7.4975
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,87.92,4,0.0,0.8792
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.9302
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,11.52,4,0.0,3.2256
Second Class,Consumer,San Francisco,California,West,Furniture,Tables,170.352,3,0.2,19.1646
Second Class,Consumer,San Francisco,California,West,Technology,Accessories,107.97,3,0.0,22.6737
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Binders,23.24,5,0.2,7.553
First Class,Home Office,San Diego,California,West,Technology,Phones,203.976,3,0.2,25.497
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Art,21.4,5,0.0,6.206
Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Labels,12.6,2,0.0,5.796
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,17.46,2,0.0,5.9364
Standard Class,Consumer,Camarillo,California,West,Office Supplies,Labels,14.73,3,0.0,7.2177
First Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.5578
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,62.496,2,0.2,21.8736
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,49.568,2,0.2,17.3488
Standard Class,Consumer,San Francisco,California,West,Technology,Phones,110.376,3,0.2,12.4173
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,30.8,4,0.0,10.164
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,89.712,6,0.2,30.2778
First Class,Consumer,San Francisco,California,West,Office Supplies,Paper,22.83,3,0.0,10.7301
First Class,Consumer,Los Angeles,California,West,Office Supplies,Art,8.64,3,0.0,2.4192
Standard Class,Consumer,San Jose,California,West,Furniture,Furnishings,43.96,7,0.0,18.4632
Standard Class,Consumer,San Jose,California,West,Office Supplies,Envelopes,39.76,7,0.0,18.6872
Second Class,Consumer,Pasadena,California,West,Furniture,Furnishings,66.36,7,0.0,26.544
Second Class,Consumer,Pasadena,California,West,Office Supplies,Binders,92.88,6,0.2,30.186
Second Class,Consumer,Pasadena,California,West,Furniture,Furnishings,24.14,2,0.0,7.9662
First Class,Consumer,Los Angeles,California,West,Office Supplies,Art,49.56,7,0.0,18.8328
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,354.9,5,0.0,17.745
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,119.98,2,0.0,35.994
Second Class,Corporate,Thousand Oaks,California,West,Office Supplies,Art,14.7,7,0.0,4.116
Standard Class,Corporate,San Jose,California,West,Furniture,Bookcases,273.666,2,0.15,-12.8784
Standard Class,Corporate,San Jose,California,West,Office Supplies,Appliances,17.48,4,0.0,4.5448
First Class,Home Office,San Francisco,California,West,Technology,Phones,35.984,2,0.2,4.498
Standard Class,Consumer,San Francisco,California,West,Technology,Accessories,46.36,4,0.0,15.2988
First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,50.784,2,0.2,17.7744
First Class,Consumer,San Francisco,California,West,Office Supplies,Labels,26.01,9,0.0,12.2247
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,59.99,7,0.0,21.5964
Second Class,Consumer,San Jose,California,West,Technology,Accessories,72.0,4,0.0,12.96
Second Class,Consumer,San Jose,California,West,Furniture,Chairs,113.888,2,0.2,9.9652
Standard Class,Home Office,Burbank,California,West,Furniture,Furnishings,111.0,2,0.0,14.43
First Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,15.51,1,0.0,3.8775
Standard Class,Consumer,Modesto,California,West,Technology,Accessories,111.79,7,0.0,43.5981
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Paper,29.9,5,0.0,13.455
First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.44,3,0.0,9.3312
First Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,36.624,3,0.2,13.734
Second Class,Consumer,Long Beach,California,West,Office Supplies,Storage,61.02,3,0.0,0.6102
Second Class,Consumer,Long Beach,California,West,Office Supplies,Supplies,110.11,7,0.0,31.9319
Second Class,Consumer,Long Beach,California,West,Office Supplies,Fasteners,7.89,1,0.0,3.5505
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,36.024,3,0.2,11.7078
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,15.7,5,0.0,7.065
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,59.52,3,0.0,15.4752
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,34.4,5,0.0,15.824
Standard Class,Corporate,Camarillo,California,West,Furniture,Furnishings,122.91,3,0.0,34.4148
Standard Class,Corporate,Camarillo,California,West,Furniture,Chairs,97.568,2,0.2,-6.098
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,167.84,8,0.0,11.7488
Standard Class,Corporate,Oxnard,California,West,Office Supplies,Binders,9.144,3,0.2,3.0861
Standard Class,Corporate,Oxnard,California,West,Office Supplies,Binders,23.136,6,0.2,8.3868
Standard Class,Corporate,Oxnard,California,West,Office Supplies,Art,99.2,5,0.0,25.792
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.72,5,0.2,6.552
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,236.528,2,0.2,-2.9566
First Class,Corporate,San Diego,California,West,Office Supplies,Labels,18.9,3,0.0,8.694
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,52.76,2,0.0,24.2696
Standard Class,Consumer,Visalia,California,West,Office Supplies,Art,14.88,2,0.0,3.72
Standard Class,Consumer,Visalia,California,West,Office Supplies,Paper,34.24,8,0.0,15.408
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Appliances,87.84,8,0.0,23.7168
Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,34.92,4,0.0,11.8728
Second Class,Home Office,Huntington Beach,California,West,Office Supplies,Envelopes,12.78,1,0.0,5.751
Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,12.96,2,0.0,6.2208
Standard Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,106.68,6,0.0,33.0708
Standard Class,Consumer,Westminster,California,West,Office Supplies,Binders,4.448,2,0.2,1.4456
Standard Class,Consumer,Westminster,California,West,Office Supplies,Fasteners,4.96,4,0.0,2.3312
Standard Class,Consumer,Westminster,California,West,Office Supplies,Art,71.92,4,0.0,20.8568
Standard Class,Consumer,Westminster,California,West,Furniture,Furnishings,18.84,3,0.0,7.9128
Standard Class,Consumer,Westminster,California,West,Technology,Accessories,140.97,3,0.0,19.7358
Same Day,Consumer,Los Angeles,California,West,Office Supplies,Art,6.08,2,0.0,2.0672
Same Day,Consumer,Los Angeles,California,West,Technology,Phones,164.792,1,0.2,18.5391
Standard Class,Consumer,San Francisco,California,West,Technology,Phones,46.384,2,0.2,5.2182
Same Day,Corporate,San Francisco,California,West,Office Supplies,Envelopes,71.88,6,0.0,33.0648
Same Day,Corporate,San Francisco,California,West,Furniture,Furnishings,9.24,3,0.0,2.9568
Same Day,Corporate,San Francisco,California,West,Office Supplies,Paper,35.88,6,0.0,16.146
Same Day,Corporate,San Francisco,California,West,Office Supplies,Binders,17.04,3,0.2,5.538
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Supplies,29.7,3,0.0,8.019
Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,70.88,2,0.0,33.3136
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,26.46,9,0.0,11.907
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,49.12,4,0.0,23.0864
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Fasteners,15.0,3,0.0,7.2
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,221.96,2,0.0,4.4392
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,236.0,4,0.0,40.12
Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,17.31,3,0.0,5.193
Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,225.576,3,0.2,22.5576
Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,22.96,7,0.0,6.6584
First Class,Consumer,Moreno Valley,California,West,Office Supplies,Paper,19.44,3,0.0,9.3312
First Class,Corporate,Los Angeles,California,West,Furniture,Tables,189.576,1,0.2,9.4788
First Class,Corporate,Los Angeles,California,West,Technology,Phones,71.96,5,0.2,7.196
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.44,3,0.0,2.604
First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,4.544,2,0.2,1.6472
Same Day,Home Office,Los Angeles,California,West,Office Supplies,Appliances,106.96,2,0.0,31.0184
First Class,Consumer,Los Angeles,California,West,Office Supplies,Art,99.2,5,0.0,25.792
Second Class,Consumer,Rancho Cucamonga,California,West,Office Supplies,Appliances,152.94,3,0.0,41.2938
Standard Class,Consumer,Brentwood,California,West,Office Supplies,Labels,88.8,6,0.0,44.4
Standard Class,Consumer,Brentwood,California,West,Technology,Phones,319.968,4,0.2,35.9964
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Appliances,40.74,3,0.0,12.222
Standard Class,Home Office,San Francisco,California,West,Office Supplies,Paper,6.58,2,0.0,3.0268
Standard Class,Home Office,San Francisco,California,West,Technology,Accessories,94.99,1,0.0,28.497
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,25.92,4,0.0,12.4416
Same Day,Corporate,Riverside,California,West,Office Supplies,Appliances,45.96,2,0.0,13.788
First Class,Consumer,San Francisco,California,West,Office Supplies,Envelopes,6.12,3,0.0,2.8764
Standard Class,Home Office,Moreno Valley,California,West,Office Supplies,Appliances,10.98,1,0.0,2.9646
Standard Class,Home Office,Moreno Valley,California,West,Office Supplies,Fasteners,7.86,3,0.0,3.6156
Standard Class,Home Office,Moreno Valley,California,West,Office Supplies,Storage,51.45,3,0.0,13.8915
Standard Class,Home Office,Moreno Valley,California,West,Office Supplies,Binders,37.056,3,0.2,13.896
Second Class,Consumer,Fresno,California,West,Furniture,Furnishings,40.48,2,0.0,14.5728
